Symbol	Ensembl IDs
GTF2H3	ENSG00000111358
DDX20	ENSG00000064703
TRA2A	ENSG00000164548
RBM4	ENSG00000173933
CSDC2	ENSG00000172346
SNRPB	ENSG00000125835
DDX23	ENSG00000174243
HNRNPH3	ENSG00000096746
PRPF19	ENSG00000110107
PAN2	ENSG00000135473
SNRPF	ENSG00000139343
LSM2	ENSG00000231502
RBM39	ENSG00000131051
CCNH	ENSG00000134480
CWC15	ENSG00000261974
SF3A3	ENSG00000183431
YTHDC1	ENSG00000083896
KIAA1429	ENSG00000164944
PRPF4B	ENSG00000112739
PCF11	ENSG00000165494
ERCC3	ENSG00000163161
IWS1	ENSG00000163166
USP39	ENSG00000168883
SUPT6H	ENSG00000109111
ADAR	ENSG00000160710
BUD13	ENSG00000137656
WDR33	ENSG00000136709
PHF5A	ENSG00000100410
POLR2H	ENSG00000163882
DHX16	ENSG00000204560
PDCD11	ENSG00000148843
SART1	ENSG00000175467
SREK1	ENSG00000153914
UBL5	ENSG00000198258
POLR2C	ENSG00000102978
SCAF4	ENSG00000156304
PTBP3	ENSG00000119314
RBM20	ENSG00000203867
HNRNPA3	ENSG00000170144
RNPC3	ENSG00000185946
SRSF2	ENSG00000161547
PRPF31	ENSG00000105618
CELF3	ENSG00000159409
POLR2L	ENSG00000177700
LSM7	ENSG00000130332
POLR2J	ENSG00000005075
RP9	ENSG00000164610
SNRPG	ENSG00000143977
SCAF8	ENSG00000213079
TDRD3	ENSG00000083544
RBM11	ENSG00000185272
ZBTB8OS	ENSG00000176261
RAVER1	ENSG00000161847
RNF113A	ENSG00000125352
GTF2F2	ENSG00000188342
C2orf49	ENSG00000135974
RBFOX3	ENSG00000167281
RNMT	ENSG00000101654
ZMAT5	ENSG00000100319
LGALS3	ENSG00000131981
APOLD1	ENSG00000178878
CLASRP	ENSG00000104859
SNRNP70	ENSG00000104852
DHX16	ENSG00000231377
RBM22	ENSG00000086589
SREK1IP1	ENSG00000153006
CACTIN	ENSG00000105298
HSPA1A	ENSG00000237724
APLP1	ENSG00000105290
CD2BP2	ENSG00000169217
WAC	ENSG00000095787
ZCRB1	ENSG00000139168
DDX47	ENSG00000213782
MYOD1	ENSG00000129152
PLRG1	ENSG00000171566
NELFE	ENSG00000233801
RBM15B	ENSG00000179837
AHNAK	ENSG00000124942
TIAM2	ENSG00000146426
SCAF1	ENSG00000126461
HNRNPL	ENSG00000104824
CWC22	ENSG00000163510
RBM17	ENSG00000134453
MNAT1	ENSG00000020426
PPIH	ENSG00000171960
HNRNPD	ENSG00000138668
TSEN34	ENSG00000271685
WT1	ENSG00000184937
RNF219	ENSG00000152193
RBM28	ENSG00000106344
DHX38	ENSG00000140829
CDK7	ENSG00000262841
AICDA	ENSG00000111732
