UID	C2PJTACXX_4_TACAGC_1.bed	C3B9JACXX_2_CCGTCC_1.bed	C2F7PACXX_7_AGTTCC_1.bed	C2NC1ACXX_3_ATTCCT_1.bed	SRS380396_1.bed	SRS606816_1.bed	C2EJBACXX_2_AGGCCG_1.bed	D2GEUACXX_7_CAACTA_1.bed	C2F5LACXX_8_CCACGC_1.bed	SRS380430_1.bed	C2PJTACXX_6_CTCAGA_1.bed	C2F5LACXX_6_GCAAGG_1.bed	C37FTACXX_4_ACTCTC_1.bed	C2F8BACXX_5_TACAGC_1.bed	C2F8BACXX_3_ATGTCA_1.bed	C2MRVACXX_7_CCTTAG_1.bed	SRS380435_1.bed	SRS380365_1.bed	C2F8BACXX_6_ATAATT_1.bed	C2F5LACXX_6_TTCGAA_1.bed	C2F5JACXX_8_GCACTT_1.bed	C2F8BACXX_4_TGACCA_1.bed	C2F7PACXX_2_CTTGTA_1.bed	C37FTACXX_4_ATAATT_1.bed	SRS380305_1.bed	C2F5LACXX_7_CTGCTG_1.bed	SRS380321_1.bed	SRS380406_1.bed	SRS380449_1.bed	C2F5JACXX_2_TGGCGC_1.bed	C34AYACXX_3_TAATCG_1.bed	SRS380310_1.bed	SRS380341_1.bed	SRS380419_1.bed	SRS380316_1.bed	C2EJBACXX_4_CGTACG_1.bed	C2PVKACXX_3_TGGCGC_1.bed	C2F5JACXX_5_GAAACC_1.bed	C2PNJACXX_1_AAACAT_1.bed	SRS380447_1.bed	C2F5JACXX_8_AAACAT_1.bed	C2PTNACXX_4_GCTCCA_1.bed	SRS380380_1.bed	SRS380347_1.bed	SRS380367_1.bed	C2F5JACXX_4_ATCTAT_1.bed	C2F5JACXX_7_AGAAGA_1.bed	SRS380350_1.bed	SRS380393_1.bed	SRS380278_1.bed	SRS380338_1.bed	SRS380364_1.bed	SRS380301_1.bed	C2F5JACXX_1_CACTCA_1.bed	SRS380366_1.bed	C2NR9ACXX_1_AAATGC_1.bed	SRS380287_1.bed	C2PJTACXX_5_CTAGCT_1.bed	C2F7PACXX_3_CCGCAA_1.bed	C2F7PACXX_8_CGAGAA_1.bed	C2F5JACXX_5_GCCTTA_1.bed	C2EJBACXX_1_CCTTAG_1.bed	SRS380331_1.bed	SRS380293_1.bed	SRS380289_1.bed	SRS380377_1.bed	SRS380437_1.bed	C2PJTACXX_8_ATGAGC_1.bed	SRS380436_1.bed	C2F7PACXX_8_AGCGCT_1.bed	SRS380343_1.bed	C2F7PACXX_5_GCTCCA_1.bed	C2NR9ACXX_7_CATTTT_1.bed	C2NR9ACXX_1_AAGGAC_1.bed	C37FTACXX_8_TGACCA_1.bed	C2PNJACXX_3_TCGAAG_1.bed	C2F7PACXX_5_GTAGAG_1.bed	SRS380375_1.bed	C2EJBACXX_8_ACTGAT_1.bed	C2F8BACXX_8_AGGTTT_1.bed	C37FTACXX_5_TGCTGG_1.bed	SRS616789_1.bed	SRS380392_1.bed
RAD52:ENSG00000002016:I2.1-E3.1|ENSG00000002016:E1.2-E3.2	0.393939394	0.217391304	0	0.705882353	0.323529412	0.130434783	0	0	0	0	0	0	0.48	0	0	0	0.657142857	0.208333333	0		0.222222222	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0.513513514		0.258064516	0	0.155172414	0	0	0	0		0	0	0	0.305555556	0.586206897	0.375	0.419354839	0	0	0.4375	0	0	0.764705882	0.225806452	0	0	0.163636364	0	0	0.2	0	0.270833333	0.214285714	0.56097561	0	0	0.448979592	0	0.266666667	0.529411765	0.583333333	0.419354839		0	0.55	0.666666667	0.636363636		0.384615385	0.28125	0.191489362
RAD52:ENSG00000002016:E1.2-E3.2|ENSG00000002016:I2.1-E3.1	0.404761905	0.571428571	0.901960784	0.181818182	0.442307692	0.740740741	1	1	1	0.914893617	1	1	0.35	1	0.725	0.884615385	0.184615385	0.633333333	1		0.573770492	1	1	0.9	1	1	0.282051282	0.4	1	0.95	1	0.388888889	0.270833333		0.511111111	0.888888889	0.731343284	1	0.823529412	1	1		0.870967742	1	0.888888889	0.48	0.083333333	0.476190476	0.442857143	0.727272727	1	0.473684211	0.75	0.882352941	0.092592593	0.685714286	0.933333333	1	0.676470588	1	0.947368421	0.575	0.923076923	0.596491228	0.6875	0.214285714	0.967741935	1	0.482142857	1	0.527777778	0.307692308	0.215686275	0.421052632		1	0.293478261	0.1875	0.307692308		0.416666667	0.638888889	0.678571429
MAD1L1:ENSG00000002822:E26.1-E28.1|ENSG00000002822:E25.2-E28.1	0.857142857	0.914893617	0.848484848	0.948717949		0.952380952	0.870967742	0.263157895	1	0.9125		1	0.785714286	1	1	0.833333333	0.925	0.9375		1	0.923076923	1	1	0.956521739	0.926829268	1	1	0.741935484	0.777777778	0.8	0.857142857	0.820512821			0.848484848	0.636363636	0.694444444	0.848484848	1	0.85	1		0.666666667	0.924050633		0.666666667		0.903225806	0.946428571	0.790322581	0.931818182	0.930555556	0.65625	0.958333333		0.772727273	0.720588235		0.76		0.833333333	1	0.904761905	0.779411765	1	0.75	1	0.988372093	0.868421053	1	0.736842105	0	0.913793103	0.934782609	0.6875	0.913043478	0.516129032	0.935483871	0.416666667	0.058823529	0.769230769	0.8	0.985714286
CASP10:ENSG00000003400:I5.1-E6.1|ENSG00000003400:E5.1-E7.1	0.278846154	0.28	0	0.192307692	0	0.325581395		0		0.197802198	0.282352941	0	0	0	0	0	0	0	0	0	0			0.139534884	0.098765432	0	0.4	0.152542373	0	0.166666667	0	0.205479452	0.395833333		0.147058824	0	0.262773723	0	0	0.081632653	0	0	0.229357798	0	0.327102804	0.578947368	0.505494505	0.128378378	0.230088496	0	0.115044248	0.173076923	0.147058824	0	0.225806452	0.129032258	0.271929825	0.15625	0		0	0.36	0.24	0.22826087	0.372881356	0.341463415	0	0.102040816	0.111111111	0.230769231	0.191919192		0.366492147	0.348484848	0.285714286	0.292929293	0.08	0.125	0.438848921	0.441860465	0.544117647	0	0.08411215
CFLAR:ENSG00000003402:E10.2-E13.1|ENSG00000003402:E10.2-E11.1	0.322916667	0.527607362	0.47826087	0.177083333	0.208333333	0.101910828	0.666666667	0.27027027	0.09	0.487603306	0.125874126	0.373417722	0.17535545	0.256198347	0.138613861	0.119791667	0.168316832	0.128078818	0.055299539	0.339449541	0.173184358	0.11827957	0.266233766	0.671641791	0.406779661	0.272727273	0.278301887	0.373563218	0.456	0.285087719	0.27755102	0.712727273	0.535714286		0.288	0.119047619	0.143631436	0.329787234	0.193548387	0.466292135	0.161764706	0	0.372128637	0.724137931	0.390542907	0.204116638	0.231454006	0.716346154	0.5625	0.442982456	0.43597561	0.430379747	0.453608247	0.171428571	0.59798995	0.391156463	0.450980392	0.34057971	0.251798561	0.078358209	0.445454545	0.27173913	0.49382716	0.373493976	0.464912281	0.514195584	0.812785388	0.375	0.423076923	0.081339713	0.533742331	0.389189189	0.255572065	0.216216216	0.240566038	0.341269841	0.537593985	0.653409091	0.336283186	0.828125	0.268292683	0.146387833	0.678456592
CFLAR:ENSG00000003402:E4.4-E6.5|ENSG00000003402:E1.6-E6.5	0.235555556	0.279069767	0.142857143	0.261363636	0.267326733	0.283636364	0.316455696	0.272727273	0.220512821	0.202797203	0.119565217	0.25	0.261363636	0.257575758	0.101960784	0.333333333	0.44295302	0.15483871	0.292682927	0	0.269709544	0.109489051	0.355029586	0.216494845	0.175384615	0.188679245	0.274336283	0.413284133	0.155555556	0.270114943	0.312217195	0.235023041	0.282229965		0.252272727	0.150684932	0.416058394	0.173469388	0.147982063	0.233108108	0.193277311	0	0.117276166	0.155893536	0.084977238	0.109649123	0.139285714	0.150572831	0.382716049	0.134228188	0.215962441	0.251928021	0.299516908	0.216981132	0.248	0.328125	0.278372591	0.4	0.129411765	0.09223301	0.269230769	0.362068966	0.208695652	0.235981308	0.348148148	0.189710611	0.265625	0.2	0.323275862	0.149350649	0.221902017	0.260273973	0.649885584	0.304545455	0.4375	0.409395973	0.277777778	0.468253968	0.256281407	0.448275862	0.474137931	0.454901961	0.393162393
RBM6:ENSG00000004534:E30.1-E31.1|ENSG00000004534:I12.1_50090246-ENSG00000003756:E26.1	0.92920354	0.768656716	0.869565217	0.836158192	0.735772358	0.721925134	0.837209302	0.757575758	0.485714286	0.85492228	0.776315789	0.537037037	0.759803922	0.842105263	0.5	0.924657534	0.742138365	0.783783784		0.862068966	0.75	0.558823529	1	0.900269542	0.872521246	0.351351351	0.830388693	0.635087719	0.926829268	0.906882591	0.666666667	0.533101045	0.714535902		0.859649123	0.708333333	0.88671875	0.7	0.431372549	0.883458647	0.622641509	1	0.903307888	0.747474747	0.831408776	0.827586207	0.867069486	0.803030303	0.909090909	0.887417219	0.763033175	0.819444444	0.838268793	0.867924528	0.930973451	0.973282443	0.885542169	0.933035714	0.838709677	0.9875	0.5	0.879166667	0.926027397	0.706896552	0.811320755	0.913946588	0.961538462	0.907142857	0.837748344	0.962962963	0.949105915	1	0.939393939	0.891156463	0.931677019	0.913333333	0.976190476	0.876508821	0.958579882	0.90881459	0.683453237	0.884758364	0.93460925
SPPL2B:ENSG00000005206:E7.2-E9.2|ENSG00000005206:E7.3-I7.1	0.279245283	0.923076923	0.923728814	0.679245283	1	0.645454545	0.650793651			0.345177665	1	1	0.317460317	0.885714286	0.75	0.317073171	0.247368421	0.826086957	1		1	0.464285714	1	0.319796954	0.316062176	0.72972973	0.280276817	0.458823529	0.555555556	0.554054054	0.891891892	0.639130435	0.215625		0.294416244	0.673469388	0.384313725	0.956521739	0.69047619	0.481927711	0.795918367		0.192139738	0.378559464	0.476190476	0.621621622	0.461538462	0.319095477	0.304979253	0.268041237	0.410926366	0.314285714	0.353887399	0.67	0.088541667	0.418032787	0.257206208	0.909090909	0.609756098	0.875	0.94047619	0.161764706	0.324889868	0.48	0.911111111	0.331521739	0.561097257	0.338797814	0.292089249	0.558139535	0.24403183	0	0.274611399	0.585714286	0.347222222	0.342857143	0.888888889	0.294623656	0.666666667	0.428571429	0.529411765	0.13	0.413333333
BZRAP1:ENSG00000005379:E7.1-E8.1|ENSG00000005379:I7.1-E8.1	1	1		0.977272727	0.956521739	1				0.696721311	1		1		1	1	0.693877551	0.545454545		0	0.96		1	0.716713881	0.698564593	1	0.990384615	0.840707965	0.77	1	1	0.971428571	0.37804878		0.626506024	0.928571429	0.925925926		1	0.816091954	0.730769231		0.627118644	0.988066826	0.823770492	1	1	0.159574468	0.995614035	0.869565217	0.829268293	0.982352941	0.989130435	0.721518987	0.727941176	1	0.777027027		0.8		1	0.6	0.805369128	0.581818182	0.727272727	0.966386555	0.615384615		0.714285714		0.619909502	0.666666667	1	0.621621622	1	1		0.97826087	0.723076923	0.530612245	0.416666667	0.723404255	0.272727273
GCFC2:ENSG00000005436:E12.1-E13.1|ENSG00000005436:I12.1_75901605-E13.1	0.672566372	0.75		0.684210526		0.693877551	0.7			0.821428571	0.673913043	0.8	0.473684211	1	1	0.75				0.604651163	0.105263158	1	1	0.726495726	0.65625		0.75		0.44		0.888888889	0.849056604	1		0.571428571	0.785714286	0.693181818	0.894736842	0.858974359	0.777777778	0.785714286	0.666666667	0.666666667	1	0.741935484	0.473684211	0.52173913	0.7	0.871794872	0.52	0.875	0.833333333	0.666666667	0.689655172	0.5	0.536585366	0.916666667	0.866666667	0.6	0.743589744		0.75	0.709677419	0.909090909	0.25	0.53125	0.842105263	0.604477612	0.861111111			0	0.633333333	0.5	0.85	0.65	0.5	0.588235294		0.4	0.770491803	0.52	0.837837838
