UID	Inclusion-Junction	Event-Direction	ClusterID	UpdatedClusterID	AltExons	EventAnnotation	Coordinates	ProteinPredictions	dPSI	rawp	adjp	avg-Pos	avg-Neg
ZNF320:ENSG00000182986:E3.1-I3.1|ENSG00000182986:E1.6-E8.1	True	inclusion	clu_24757	NewClu_3856	ENSG00000182986:E3.1|ENSG00000182986:I3.1	intron-retention	chr19:53398098-53398097|chr19:53400901-53394599		0.108090270614	5.72507746783e-08	0.00674854956676	0.113388517778	0.00529824716364
LONRF1:ENSG00000154359:E11.2-E12.1|ENSG00000154359:E11.2-E13.2	True	exclusion	clu_16847	NewClu_4231	ENSG00000154359:E12.1	cassette-exon	chr8:12592795-12589366|chr8:12592795-12586841		-0.104287799868	2.86024535077e-07	0.0168578570606	0.883427456316	0.987715256184
ZNF320:ENSG00000182986:I3.1-E4.1|ENSG00000182986:E1.6-E8.1	True	inclusion	clu_24757	NewClu_3856	ENSG00000182986:I3.1|ENSG00000182986:E4.1	intron-retention	chr19:53397474-53397473|chr19:53400901-53394599		0.118302535962	1.46845345931e-06	0.0494991061584	0.122222689889	0.00392015392727
TADA1:ENSG00000152382:E4.1-I4.1|ENSG00000152382:E4.1-E5.2	True	inclusion	clu_16379	NewClu_346	ENSG00000152382:I4.1	intron-retention	chr1:166833061-166833060|chr1:166833061-166831649	(+)truncated, (-)AA:121(AK309250-PEP)->335(BAJ20776.1)|(-)Histone-fold-IPR009072	0.107412394774	1.6796866618e-06	0.0494991061584	0.139678397619	0.0322660028448
TADA1:ENSG00000152382:I4.1-E5.1|ENSG00000152382:E4.1-E5.2	True	inclusion	clu_16379	NewClu_346	ENSG00000152382:I4.1|ENSG00000152382:E5.1	intron-retention	chr1:166832454-166832453|chr1:166833061-166831649		0.0802589873087	2.74094538396e-06	0.064618883805	0.102851486619	0.0225924993103
SLC39A7:ENSG00000112473:E6.1-I6.1|ENSG00000112473:E6.1-E7.1	True	inclusion	clu_7141	NewClu_4211	ENSG00000112473:I6.1	intron-retention	chr6:33170883-33170884|chr6:33170883-33171318		0.153855467959	5.2071680157e-06	0.102300890698	0.20008491185	0.0462294438909
SLC39A7:ENSG00000112473:E6.1-E7.1|ENSG00000112473:E6.1-I6.1	False	inclusion	clu_7141	NewClu_4211	ENSG00000112473:E7.1	intron-retention	chr6:33170883-33171318|chr6:33170883-33170884		-0.198837124873	7.03031393874e-06	0.111060234117	0.7319712774	0.930808402273
RP11-262H14.1:ENSG00000238113:I2.1_66458927-E3.1|ENSG00000238113:E1.2-E3.1	True	inclusion	clu_33464	NewClu_4331	ENSG00000238113:I2.1_66458927		chr9:66458927-66459808|chr9:66457355-66459808		0.196325601108	8.06760350902e-06	0.111060234117	0.377306138529	0.180980537421
PTDSS2:ENSG00000174915:E12.2-E13.1|ENSG00000174915:I12.1-E13.1	False	inclusion	clu_23021	NewClu_3712	ENSG00000174915:E12.2	intron-retention	chr11:489514-489588|chr11:489587-489588	(+)alt-N-terminus, (+)alt-C-terminus, (+)AA:278(BC015702-PEP)->323(LF384313-PEP)|(-)MOD_RES+Phosphothreonine, (-)TOPO_DOM+Cytoplasmic, (-)TOPO_DOM+Lumenal, (-)TRANSMEM+Helical;	-0.089477699672	8.47953465944e-06	0.111060234117	0.88388556565	0.973363265322
SLC39A7:ENSG00000112473:I6.1-E7.1|ENSG00000112473:E6.1-E7.1	True	inclusion	clu_7141	NewClu_4211	ENSG00000112473:I6.1	intron-retention	chr6:33171317-33171318|chr6:33170883-33171318		0.11126440615	1.3856602084e-05	0.14826250123	0.14319049655	0.0319260904
CCDC106:ENSG00000173581:I2.1-E3.1|ENSG00000173581:E2.4-E3.6	True	inclusion	clu_22692	NewClu_3869	ENSG00000173581:I2.1|ENSG00000173581:E3.1	intron-retention	chr19:56160123-56160124|chr19:56159643-56160368	(~)AA:280(ENSP00000309681)->280(BAG53421.1)	0.167506677473	1.56700752664e-05	0.14826250123	0.21154428	0.0440376025273
PACS2:ENSG00000179364:I20.1-E21.1|ENSG00000179364:E20.1-E22.2	True	inclusion	clu_24026	NewClu_4430	ENSG00000179364:I20.1|ENSG00000179364:E21.1	intron-retention	chr14:105852021-105852022|chr14:105851324-105856298		0.0902061056	1.62068951529e-05	0.14826250123	0.1220207702	0.0318146646
MPPE1:ENSG00000154889:I14.2-I16.1|ENSG00000154889:E16.3-E18.1	True	inclusion	clu_16968	NewClu_2908	ENSG00000154889:I14.2|ENSG00000154889:I16.1	intron-retention	chr18:11885675-11885674|chr18:11885675-11884626		0.0463689691351	1.63510482621e-05	0.14826250123	0.069975716381	0.0236067472459
RAB2B:ENSG00000129472:I5.1-E6.1|ENSG00000129472:E5.1-E6.1	True	inclusion	clu_10514	NewClu_3120	ENSG00000129472:I5.1	intron-retention	chr14:21931927-21931926|chr14:21936516-21931926		0.119037118649	2.47685219393e-05	0.196792783502	0.154690667952	0.0356535493036
TGS1:ENSG00000137574:E3.1-I3.1|ENSG00000137574:E3.1-E4.1	True	inclusion	clu_12718	NewClu_563	ENSG00000137574:I3.1	intron-retention	chr8:56698450-56698451|chr8:56698450-56698797		0.06429575495	2.50421350436e-05	0.196792783502	0.06429575495	0.0
UTRN:ENSG00000152818:E3.2-E5.1|ENSG00000152818:E4.1-E5.1	False	exclusion	clu_16476	NewClu_3428	ENSG00000152818:E4.1	altPromoter	chr6:144613043-144724259|chr6:144665440-144724259	(-)alt-N-terminus, (-)alt-C-terminus, (-)AA:47(ENSP00000390879)->153(ENSP00000396276)|(+)MOD_RES+Phosphoserine, (+)MOD_RES+Phosphotyrosine, (-)CH-domain-IPR001715, (-)DOMAIN-CH 1, (-)HELIX, (-)TURN	0.21721346815	3.33487388727e-05	0.245690580756	0.52039438315	0.303180915
KM-PA-2:ENSG00000204775:E8.1-E9.1|ENSG00000204775:I8.1-E9.1	False	inclusion	clu_28624	NewClu_773	ENSG00000204775:E8.1	intron-retention	chr8:145318595-145318513|chr8:145318514-145318513		-0.1722143473	3.84026765688e-05	0.266281900347	0.750410469429	0.922624816729
HTT:ENSG00000197386:E30.1-E31.1|ENSG00000197386:E30.2_3174945-E31.1	False	inclusion	clu_27255	NewClu_2603	ENSG00000197386:E30.2.3174945	alt-5'	chr4:3174858-3176448|chr4:3174945-3176448		-0.101461902992	4.0939311343e-05	0.268100177954	0.835442280286	0.936904183278
SORL1:ENSG00000137642:E32.1_121459990-E33.1|ENSG00000137642:E32.1-E33.1	False	exclusion	clu_12732	NewClu_3177	ENSG00000137642:E32.1_121459990	alt-5'	chr11:121459990-121460749|chr11:121460099-121460749		0.104298221663	5.25118523758e-05	0.325786295921	0.197054909474	0.0927566878103
RAB2B:ENSG00000129472:E5.1-I5.1|ENSG00000129472:E5.1-E6.1	True	inclusion	clu_10514	NewClu_3120	ENSG00000129472:I5.1	intron-retention	chr14:21936516-21936515|chr14:21936516-21931926		0.159249141196	6.17500689687e-05	0.349024905796	0.210512876857	0.0512637356607
